COUNTRY,ConstructionClassDescription,ConstructionSchemeID,ConstructionClassCode
AR,Conventional Bridges (< 500 ft. spans) w/ Monolithic Spans,RMS,7
AR,Major Bridges (> 500 ft. spans),RMS,8
AR,Pipelines,RMS,9
AT,Unknown,ATC,0
AT,Wood Frame,ATC,1
AT,Moment Steel Frame (Perimeter),ATC,10
AT,Moment Steel Frame (Distributed),ATC,11
AT,Ductile RC Frame (Distributed),ATC,12
AT,Non-Ductile RC Frame (Distributed),ATC,13
AT,Precast Concrete (Non Tilt-Up),ATC,14
AT,Long Span,ATC,15
AT,Tilt-Up,ATC,16
AT,Mobile Home,ATC,17
AT,Specially Engineered Facility,ATC,18
AT,Conventional Bridges (< 500 ft. spans) w/ Multiple Simple Spans,ATC,19
AT,Light Metal,ATC,2
AT,Conventional Bridges (< 500 ft. spans) w/ Monolithic Spans,ATC,20
AT,Major Bridges (> 500 ft. spans),ATC,21
AT,Pipelines - Underground,ATC,22
AT,Pipelines At Grade,ATC,23
AT,Concrete Dams,ATC,24
AT,Earthfill and Rockfill Dams,ATC,25
AT,Alluvium Tunnels,ATC,26
AT,Rock Tunnels,ATC,27
AT,Cut & Cover Tunnels,ATC,28
AT,Storage Tanks - Underground Liquid,ATC,29
AT,Unreinforced Masonry Wall,ATC,3
AT,Underground Solid Storage Tanks,ATC,30
AT,On Ground Liquid Storage Tanks,ATC,31
AT,On Ground Solid Storage Tanks,ATC,32
AT,Storage Tanks - Elevated Liquid,ATC,33
AT,Elevated Solid Storage Tanks,ATC,34
AT,Railroads (Track & Bed),ATC,35
AT,Highways,ATC,36
AT,Runways,ATC,37
AT,High Industrial Masonry Chimneys,ATC,38
AT,High Industrial Concrete Chimneys,ATC,39
AT,URM Wall with Frame,ATC,4
AT,High Industrial Steel Chimneys,ATC,40
AT,Cranes,ATC,41
AT,Conveyor Systems,ATC,42
AT,Transmission Towers (< 100 ft.),ATC,43
AT,Major (> 100 ft.) Electrical Transmission Line Towers,ATC,44
AT,Broadcast Towers,ATC,45
AT,Observation Towers,ATC,46
AT,Offshore Towers,ATC,47
AT,Canals,ATC,48
AT,Earth Retaining Structures (> 20 ft. high),ATC,49
AT,RC Shear Wall with Frame,ATC,5
AT,Waterfront Structures,ATC,50
AT,Residential Equipment,ATC,51
AT,Office Equipment,ATC,52
AT,Electrical Equipment,ATC,53
AT,Mechanical Equipment,ATC,54
AT,High Technology/Lab Equipment,ATC,55
AT,"Trains, Trucks, Airplanes",ATC,56
AT,RC Shear Wall without Frame,ATC,6
AT,RM Shear Wall,ATC,7
AT,RM Shear Wall with Frame,ATC,8
AT,Braced Steel Frame,ATC,9
AT,UNKNOWN,RMS,0
AT,WOOD,RMS,1
AT,Pipelines At Grade,RMS,10
AT,Concrete Dams,RMS,11
AT,Earthfill and Rockfill Dams,RMS,12
AT,Alluvium Tunnels,RMS,13
AT,Rock Tunnels,RMS,14
AT,Cut & Cover Tunnels,RMS,15
AT,Underground Liquid Storage Tanks,RMS,16
AT,Underground Solid Storage Tanks,RMS,17
AT,On Ground Liquid Storage Tanks,RMS,18
AT,On Ground Solid Storage Tanks,RMS,19
AT,Light Wood Frame,RMS,1A
AT,Light Wood Stud Walls,RMS,1A1
AT,Light Wood Post & Beam,RMS,1A2
AT,Heavy Timber,RMS,1B
AT,Heavy Timber Frame,RMS,1B1
AT,Heavy Timber Frame with Unreinforced Masonry Infill,RMS,1B2
AT,Wood Frame Tiled Roof,RMS,1C1
AT,Wood Frame Flat Roof,RMS,1C2
AT,Wood Frame Thatch Roof,RMS,1C3
AT,MASONRY,RMS,2
AT,Elevated Liquid Storage Tanks,RMS,20
AT,Elevated Solid Storage Tanks,RMS,21
AT,Railroad (Track and Bed),RMS,22
AT,Highways,RMS,23
AT,Runways,RMS,24
AT,High Industrial Masonry Chimneys,RMS,25
AT,High Industrial Concrete Chimneys,RMS,26
AT,High Industrial Steel Chimneys,RMS,27
AT,Cranes,RMS,28
AT,Conveyor Systems,RMS,29
AT,Weak Masonry,RMS,2A
AT,Rubble Stone Masonry,RMS,2A1
AT,Adobe,RMS,2A2
AT,Unreinforced Masonry,RMS,2B
AT,Unreinforced Cut Stone Masonry,RMS,2B1
AT,Unreinforced Solid Brick Masonry,RMS,2B2
AT,Unreinforced Concrete Block Masonry,RMS,2B3
AT,Structural Masonry,RMS,2C
AT,Reinforced Masonry,RMS,2C1
AT,Confined Masonry,RMS,2C2
AT,Masonry Steep Tiled Roof,RMS,2D1
AT,Masonry Low Slope Tiled Roof,RMS,2D2
AT,Masonry Flat Roof,RMS,2D3
AT,Masonry Thatch Roof,RMS,2D4
AT,REINFORCED CONCRETE,RMS,3
AT,Conventional (< 100 ft.) Electrical Transmission Line Towers,RMS,30
AT,Major (> 100 ft.) Electrical Transmission Line Towers,RMS,31
AT,Broadcast Towers,RMS,32
AT,Observation Towers,RMS,33
AT,Offshore Towers,RMS,34
AT,Canals,RMS,35
AT,Earth Retaining Structures (> 20 ft. high),RMS,36
AT,Waterfront Structures,RMS,37
AT,Residential Equipment,RMS,38
AT,Office Equipment,RMS,39
AT,Cast-in-place Reinforced Concrete with Concrete Roof Deck,RMS,3A
AT,Reinforced Concrete Moment Resisting Frame,RMS,3A1
AT,RCMRF with Shear Walls,RMS,3A2
AT,RCMRF with Unreinforced Masonry Infill,RMS,3A3
AT,Reinforced Concrete Shear Wall,RMS,3A4
AT,Waffle or Flat Slab,RMS,3A5
AT,Steel & Reinforced Concrete Composite Frame,RMS,3A6
AT,Precast Reinforced Concrete with Concrete Roof Deck,RMS,3B
AT,Precast Moment Resisting Frame,RMS,3B1
AT,Precast MRF with Shear Walls,RMS,3B2
AT,Precast MRF with Unreinforced Masonry Infill,RMS,3B3
AT,Tilt-Up,RMS,3B4
AT,Precast Panel Bearing Wall,RMS,3B5
AT,Lift Slab,RMS,3B6
AT,Reinforced Concrete Tiled Roof,RMS,3C1
AT,Reinforced Concrete Flat Roof,RMS,3C2
AT,STEEL,RMS,4
AT,Electrical Equipment,RMS,40
AT,Mechanical Equipment,RMS,41
AT,High Technology/Lab Equipment,RMS,42
AT,"Trains, Trucks, Airplanes",RMS,43
AT,Automobiles - Personal,RMS,44
AT,Automobiles - Dealers,RMS,45
AT,Steel Frame with Concrete Roof Deck,RMS,4A
AT,Steel Moment Resisting Frame,RMS,4A1
AT,Steel MRF with Shear Walls,RMS,4A2
AT,Steel MRF with Unreinforced Masonry Infill,RMS,4A3
AT,Concentrically Braced Steel Frame,RMS,4A4
AT,Eccentrically Braced Steel Frame,RMS,4A5
AT,Light Metal,RMS,4B
AT,Light Metal Frame,RMS,4B1
